TreeNumber,UTM_X,UTM_Y,Grid_X,Grid_Y,Species,D.A.,DBH_cm,Height_m,CBH_m
72,1019255.291,4334837.739,180.5,33.4,PIPU,,1.27,1.5,0.9
33,1019197.168,4334834.816,122.3,32.9,PIPU,,1.27,1.5,0.9
31,1019260.314,4334826.088,184.9,21.5,PIPU,,1.27,1.5,0.6
54,1019144.843,4334945.753,74.6,145.8,PIPU,,1.27,1.5,0.6
55,1019144.449,4334945.632,74.2,145.7,PIPU,,1.27,1.5,0.6
6,1019131.662,4334943.153,61.3,143.9,PIPU,,1.27,1.5,0.5
7,1019248.803,4334887.58,176,83.3,PIPU,,1.27,1.5,0.4
32,1019250.748,4335144.409,188.9,339.9,PIPU,,1.27,1.5,0.3
5,1019130.984,4334942.717,60.6,143.5,PIPU,,1.27,1.5,0.3
22,1019225.513,4334805.958,149.3,2.8,PIPU,,1.27,1.5,0.2
27,1019235.421,4334854.028,161.3,50.5,PIPU,,1.27,1.5,0.2
2,1019085.875,4334991.654,17.7,194.1,PIPU,,1.27,1.5,0.1
75,1019248.779,4334897.493,176.5,93.2,PIPU,,1.27,1.5,0.1
17,1019085.337,4334946.264,15.2,148.8,PIPU,,1.27,1.5,0.1
27,1019290.457,4334812.445,214.5,6.5,PIPU,,1.27,1.5,0
31,1019288.743,4334816.46,213,10.6,PIPU,,1.27,1.5,0
48,1019285.037,4334818.367,209.4,12.7,PIPU,,1.27,1.5,0
33,1019494.929,4335116.559,431.5,301.8,PIPU,,1.27,1.5,0
29,1019330.751,4334855.897,256.6,48.2,PIPU,,1.27,1.5,0
30,1019332.607,4334854.894,258.4,47.1,PIPU,,1.27,1.5,0
28,1019168.732,4334959.817,99.2,158.8,PIPU,,1.27,1.5,0
53,1019144.132,4335200.138,84.5,400.1,PSME,,1.524,1.5,1
19,1019354.532,4335128.082,291.9,319.2,PSME,,1.524,1.5,0.3
10,1019459.1,4335141.135,396.8,327.8,PSME,,1.524,1.5,0.3
56,1019236.37,4334870.501,162.9,66.9,PSME,,1.524,1.5,0.3
38,1019228.975,4335139.57,166.9,336,PSME,,1.524,1.5,0.2
9,1019114.469,4335188.892,54.5,390,PSME,,1.524,1.5,0.2
3,1019369.272,4335091.393,304.9,282,PSME,,1.524,1.5,0
36,1019364.841,4335143.63,302.8,334.4,PIFL2,,1.524,1.5,0.3
36,1019079.347,4334992.009,11.2,194.8,PIEN,,1.524,1.5,1.3
55,1019076.737,4334974.748,7.9,177.7,PIEN,,1.524,1.5,1.3
22,1019226.331,4334847.957,151.9,44.7,PIEN,,1.524,1.5,1.2
52,1019192.072,4334853.892,118,52,PIEN,,1.524,1.5,1.2
33,1019184.122,4334902.936,112,101.4,PIEN,,1.524,1.5,1.2
76,1019460.759,4335207.294,401.3,394,PIEN,,1.524,1.5,1.1
46,1019299.816,4334876.908,226.6,70.6,PIEN,,1.524,1.5,1.1
17,1019355.534,4334814.533,279.6,5.8,PIEN,,1.524,1.5,1
63,1019183.54,4334952.472,113.6,150.9,PIEN,,1.524,1.5,1
82,1019188.54,4334879.339,115.6,77.6,PIEN,,1.524,1.5,0.9
33,1019468.7,4335210.518,409.4,396.8,PIEN,,1.524,1.5,0.8
30,1019204.03,4334874.232,130.8,71.9,PIEN,,1.524,1.5,0.8
70,1019195.362,4334877.178,122.3,75.3,PIEN,,1.524,1.5,0.8
115,1019459.251,4335182.499,398.7,369.1,PIEN,,1.524,1.5,0.7
41,1019289.984,4335175.688,229.3,369.5,PIEN,,1.524,1.5,0.6
140,1019273.329,4334839.394,198.6,34.1,PIEN,,1.524,1.5,0.6
24,1019185.126,4334902.889,113,101.3,PIEN,,1.524,1.5,0.6
6,1019208.9,4334927.06,137.8,124.4,PIEN,,1.524,1.5,0.6
73,1019121.386,4334921.299,50.1,122.4,PIEN,,1.524,1.5,0.6
43,1019172.608,4334843.266,98,42.2,PIEN,,1.524,1.5,0.5
31,1019203.925,4334872.424,130.6,70.1,PIEN,,1.524,1.5,0.5
3,1019112.068,4334886.679,39.4,88.1,PIEN,,1.524,1.5,0.5
51,1019077.368,4334974.18,8.5,177.1,PIEN,,1.524,1.5,0.5
61,1019478.065,4335159.644,416.5,345.5,PIEN,,1.524,1.5,0.4
43,1019387.714,4335183.274,327.3,373,PIEN,,1.524,1.5,0.4
29,1019185.084,4334903.688,113,102.1,PIEN,,1.524,1.5,0.4
13,1019122.66,4334941.093,52.2,142.1,PIEN,,1.524,1.5,0.4
59,1019091.129,4334969.583,22,172,PIEN,,1.524,1.5,0.4
3,1019332.106,4334870.387,258.5,62.6,PIEN,,1.524,1.5,0.3
36,1019177.269,4334869.029,103.8,67.9,PIEN,,1.524,1.5,0.3
147,1019270.374,4334900.019,198.2,94.8,PIEN,,1.524,1.5,0.3
24,1019216.802,4334898.122,144.6,95.3,PIEN,,1.524,1.5,0.3
7,1019128.935,4334899.069,56.9,99.8,PIEN,,1.524,1.5,0.3
53,1019197.195,4334953.678,127.3,151.6,PIEN,,1.524,1.5,0.3
39,1019448.415,4335175.316,387.5,362.5,PIEN,,1.524,1.5,0.2
133,1019444.723,4335184.534,384.3,371.9,PIEN,,1.524,1.5,0.2
10,1019305.722,4335167.791,244.6,361,PIEN,,1.524,1.5,0.2
36,1019159.1,4334891.016,86.6,90.6,PIEN,,1.524,1.5,0.2
24,1019255.541,4334911.951,183.8,107.5,PIEN,,1.524,1.5,0.2
22,1019163.042,4334917.16,91.7,116.5,PIEN,,1.524,1.5,0.2
30,1019133.233,4334912.797,61.7,113.5,PIEN,,1.524,1.5,0.2
18,1019123.191,4334905.774,51.3,106.8,PIEN,,1.524,1.5,0.2
40,1019201.169,4334950.483,131.1,148.2,PIEN,,1.524,1.5,0.2
1,1019189.145,4334943.056,118.7,141.2,PIEN,,1.524,1.5,0.2
14,1019413.197,4334835.955,338.1,24.8,PIEN,,1.524,1.5,0.1
37,1019242.835,4334869.441,169.3,65.5,PIEN,,1.524,1.5,0.1
66,1019235.695,4334877.575,162.6,74,PIEN,,1.524,1.5,0.1
45,1019182.529,4334904.654,110.5,103.2,PIEN,,1.524,1.5,0.1
91,1019175.781,4334920.52,104.6,119.4,PIEN,,1.524,1.5,0.1
26,1019170.258,4334920.847,99.1,119.8,PIEN,,1.524,1.5,0.1
23,1019088.763,4334916.806,17.5,119.2,PIEN,,1.524,1.5,0.1
50,1019199.052,4334937.153,128.5,135,PIEN,,1.524,1.5,0.1
28,1019107.943,4334936.929,37.5,138.5,PIEN,,1.524,1.5,0.1
2,1019369.206,4334809.73,293,0.5,PIEN,,1.524,1.5,0
63,1019365.09,4334813.718,289.1,4.7,PIEN,,1.524,1.5,0
89,1019358.806,4334824.601,283.4,15.9,PIEN,,1.524,1.5,0
4,1019352.172,4334825.07,276.8,16.5,PIEN,,1.524,1.5,0
36,1019365.111,4334863.186,291.3,54.1,PIEN,,1.524,1.5,0
30,1019277.833,4334845.422,203.2,40.1,PIEN,,1.524,1.5,0
7,1019443.464,4334962.388,373.7,149.9,PIPO,,1.524,1.5,0.8
6,1019504.775,4334861.739,430.7,46.8,PIPO,,1.524,1.5,0.6
23,1019444.671,4334881.443,371.5,69,PIPO,,1.524,1.5,0.5
32,1019438.98,4334877.337,365.6,65.2,PIPO,,1.524,1.5,0.5
5,1019357.918,4335063.074,292.5,254.1,PIPO,,1.524,1.5,0.3
14,1019352.5,4335061.385,287,252.7,PIPO,,1.524,1.5,0.2
47,1019144.999,4334950.368,75,150.4,PIPU,,1.524,1.5,0.6
10,1019325.771,4334847.822,251.2,40.4,PIPU,,1.524,1.5,0.5
6,1019248.972,4334886.287,176.1,82,PIPU,,1.524,1.5,0.4
23,1019176.834,4334892.737,104.4,91.6,PIPU,,1.524,1.5,0.4
30,1019080.261,4334993.66,12.2,196.4,PIPU,,1.524,1.5,0.3
1,1019230.59,4334925.887,159.4,122.3,PIPU,,1.524,1.5,0.3
45,1019172.757,4334936.381,102.2,135.4,PIPU,,1.524,1.5,0.3
27,1019168.233,4334959.791,98.7,158.8,PIPU,,1.524,1.5,0.3
47,1019284.91,4334818.861,209.3,13.2,PIPU,,1.524,1.5,0.1
76,1019248.779,4334897.493,176.5,93.2,PIPU,,1.524,1.5,0.1
39,1019490.261,4335119.617,427,305.1,PIPU,,1.524,1.5,0
2,1019270.603,4334926.666,199.4,121.4,PIPU,,1.524,1.5,0
42,1019123.589,4334909.6,51.9,110.6,PSME,,1.778,1.5,0.3
49,1019065.207,4335185.019,5.1,388.3,PSME,,1.778,1.5,0.2
44,1019109.874,4334963.547,40.4,165.2,PIFL2,,1.778,1.5,0.9
72,1019121.418,4334920.7,50.1,121.8,PIEN,,1.778,1.5,1.2
81,1019262.318,4334895.187,189.9,90.4,PIEN,,1.778,1.5,1.1
56,1019185.354,4334865.751,111.7,64.2,PIEN,,1.778,1.5,0.9
67,1019247.442,4334903.831,175.5,99.6,PIEN,,1.778,1.5,0.9
17,1019207.28,4334921.368,136.1,118.8,PIEN,,1.778,1.5,0.9
36,1019205.61,4334915.071,134.1,112.6,PIEN,,1.778,1.5,0.9
18,1019103.767,4335202.244,44.3,403.9,PIEN,,1.778,1.5,0.7
30,1019468.379,4335212.804,409.2,399.1,PIEN,,1.778,1.5,0.6
77,1019460.759,4335207.294,401.3,394,PIEN,,1.778,1.5,0.6
35,1019205.644,4334872.114,132.3,69.7,PIEN,,1.778,1.5,0.6
28,1019263.866,4334888.659,191.1,83.8,PIEN,,1.778,1.5,0.6
36,1019134.31,4334913.254,62.8,113.9,PIEN,,1.778,1.5,0.6
50,1019194.131,4334862.593,120.3,60.8,PIEN,,1.778,1.5,0.5
127,1019264.809,4334899.224,192.6,94.3,PIEN,,1.778,1.5,0.5
88,1019199.988,4334874.919,126.8,72.8,PIEN,,1.778,1.5,0.4
6,1019188.006,4334903.342,115.9,101.6,PIEN,,1.778,1.5,0.4
11,1019246.745,4334861.437,173,57.3,PIEN,,1.778,1.5,0.3
89,1019200.282,4334875.035,127.1,72.9,PIEN,,1.778,1.5,0.3
31,1019351.015,4334810.989,274.9,2.5,PIEN,,1.778,1.5,0.2
30,1019109.109,4334937.592,38.7,139.1,PIEN,,1.778,1.5,0.2
20,1019086.816,4335202.767,27.4,405.1,PIPO,,1.778,1.5,0.7
20,1019444.798,4334879.047,371.5,66.6,PIPO,,1.778,1.5,0.5
9,1019180.224,4335045.221,114.1,243.7,PIPO,,1.778,1.5,0.3
35,1019438.194,4334888.411,365.4,76.3,PIPO,,1.778,1.5,0.2
25,1019406.732,4335010.047,339.1,199,PIPO,,1.778,1.5,0
17,1019355.611,4334943.793,285.2,135.1,PIPO,,1.778,1.5,0
8,1019156.391,4335210.7,97.3,410,PIPU,,1.778,1.5,0.5
21,1019286.102,4334857.576,212.1,51.8,PIPU,,1.778,1.5,0.4
54,1019408.987,4335007.144,341.2,196.2,PIPU,,1.778,1.5,0
85,1019462.257,4335209.276,402.9,395.9,PSME,,2.032,1.5,0.2
18,1019263.203,4334832.049,188.1,27.3,PIEN,,2.032,1.5,0.9
